"","zip","objectid","shape_area","shape_len","CaseRtWk39"
"1","60601",27,9166245.79985,19804.5821088,1451.4
"2","60602",26,4847124.8171,14448.1749926,1688.1
"3","60603",19,4560228.98203,13672.6822885,1107.3
"4","60604",48,4294901.99439,12245.8084015,3964.2
"5","60605",20,36301276.3485,37973.3461051,1420.8
"6","60606",31,6766410.89809,12040.4402354,2289.6
"7","60607",29,64664293.9426,39143.6395171,2504.1
"8","60608",28,176505462.522,53169.2177202,3406.4
"9","60609",22,213490325.264,58540.9204127,4190.6
"10","60610",54,31598157.0867,24208.6988788,1706.9
"11","60611",38,23506055.7304,34689.3506306,1412.4
"12","60612",16,106718949.386,42663.1966757,2885.4
"13","60613",53,53990894.8848,31196.3206564,1572.4
"14","60614",32,94460631.8068,50587.3473804,1604.3
"15","60615",8,66565454.8469,38321.3137692,1549.5
"16","60616",25,109667069.368,45823.5398375,1544.1
"17","60617",12,452837422.002,102528.036078,2665.6
"18","60618",24,141235867.545,47847.080382,2381.5
"19","60619",61,167872012.644,53040.9070778,2303.4
"20","60620",59,211696050.967,58466.1602979,2506.8
"21","60621",9,104746821.074,42299.9203908,2647.9
"22","60622",36,70853834.3797,42527.9896789,2237
"23","60623",57,155285532.005,53406.9156168,5210.6
"24","60624",17,99418122.471,40394.4100077,3434.9
"25","60625",5,105830918.023,42524.1104776,2783.8
"26","60626",1,49170578.9623,33983.9133065,2911.7
"27","60628",43,345241692.171,83748.9919899,2562.8
"28","60629",58,211114779.439,58701.3253749,4852
"29","60630",45,131073763.12,49198.9402832,2303.6
"30","60631",41,107117591.88,68289.7515766,2228.3
"31","60632",56,211755252.573,63253.238669,5084.6
"32","60633",14,187526657.189,59703.2158155,2719.3
"33","60634",52,194062612.162,77647.3180069,3366
"34","60636",10,104114706.691,42448.2828439,3400.3
"35","60637",60,125424284.172,52377.8545408,1953.5
"36","60638",39,166166339.096,67710.6467392,3500.2
"37","60639",34,127476050.762,48103.7827213,5247.6
"38","60640",4,77305245.7089,48985.8713041,1843.2
"39","60641",6,113903341.112,42682.9829469,3518.6
"40","60642",46,47961494.4,31296.2271441,1935.5
"41","60643",13,183013076.262,59337.8074397,2422.3
"42","60644",18,99092221.5388,40030.8385293,3439.4
"43","60645",2,62181473.5197,32075.5994211,3029.4
"44","60646",42,117890054.124,62633.1398208,2111.7
"45","60647",33,106052287.488,42720.0444058,2610
"46","60649",11,80526076.0889,55092.8632931,2509.6
"47","60651",37,99039621.2518,47970.1401531,4027.3
"48","60652",40,128309832.185,48187.9498796,3787.6
"49","60653",21,67759827.8103,34316.3615428,2430.3
"50","60654",55,15869961.3469,17119.6988775,1876.1
"51","60655",49,115380139.149,77392.3226132,2322.6
"52","60656",47,89515884.463,84430.9732159,2240.8
"53","60657",7,63547755.9216,45646.4880277,1401.8
"54","60659",50,69698411.4356,38931.5266612,2724.7
"55","60660",3,37984388.8422,27307.8138361,1778.4
"56","60661",30,9357755.68017,13132.5654896,1531.3
"57","60666",23,282085137.575,101876.553747,NA
"58","60707",35,45069038.4783,27288.6096123,1355.2
"59","60827",44,48551330.3923,28833.9637574,384.9
"60","Unknown",NA,NA,NA,0
